Date_start,Date_reported,Biweek_label,Biweek_index,Country,Country_code,WHO_region,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths,Year,Week_num,flag_incomplete_biweek
2024-06-02,2024-06-09,2024-06-02 to 2024-06-09,116,Australia,AU,WPRO,0,0,11861161,25236,2024,23,0
2024-06-16,2024-06-23,2024-06-16 to 2024-06-23,117,Australia,AU,WPRO,0,0,11861161,25236,2024,25,0
2024-06-30,2024-07-07,2024-06-30 to 2024-07-07,118,Australia,AU,WPRO,0,0,11861161,25236,2024,27,0
2024-07-14,2024-07-21,2024-07-14 to 2024-07-21,119,Australia,AU,WPRO,0,0,11861161,25236,2024,29,0
2024-07-28,2024-08-04,2024-07-28 to 2024-08-04,120,Australia,AU,WPRO,0,0,11861161,25236,2024,31,0
2024-08-11,2024-08-18,2024-08-11 to 2024-08-18,121,Australia,AU,WPRO,0,0,11861161,25236,2024,33,0
2024-08-25,2024-09-01,2024-08-25 to 2024-09-01,122,Australia,AU,WPRO,0,0,11861161,25236,2024,35,0
2024-09-08,2024-09-15,2024-09-08 to 2024-09-15,123,Australia,AU,WPRO,0,0,11861161,25236,2024,37,0
2024-09-22,2024-09-29,2024-09-22 to 2024-09-29,124,Australia,AU,WPRO,0,0,11861161,25236,2024,39,0
2024-10-06,2024-10-13,2024-10-06 to 2024-10-13,125,Australia,AU,WPRO,0,0,11861161,25236,2024,41,0
2024-10-20,2024-10-27,2024-10-20 to 2024-10-27,126,Australia,AU,WPRO,0,0,11861161,25236,2024,43,0
2024-11-03,2024-11-10,2024-11-03 to 2024-11-10,127,Australia,AU,WPRO,0,0,11861161,25236,2024,45,0
2024-11-17,2024-11-24,2024-11-17 to 2024-11-24,128,Australia,AU,WPRO,0,0,11861161,25236,2024,47,0
2024-12-01,2024-12-08,2024-12-01 to 2024-12-08,129,Australia,AU,WPRO,0,0,11861161,25236,2024,49,0
2024-12-15,2024-12-22,2024-12-15 to 2024-12-22,130,Australia,AU,WPRO,0,0,11861161,25236,2024,51,0
2024-12-29,2025-01-05,2024-12-29 to 2025-01-05,131,Australia,AU,WPRO,0,0,11861161,25236,2025,1,0
2025-01-12,2025-01-19,2025-01-12 to 2025-01-19,132,Australia,AU,WPRO,0,0,11861161,25236,2025,3,0
2025-01-26,2025-02-02,2025-01-26 to 2025-02-02,133,Australia,AU,WPRO,0,0,11861161,25236,2025,5,0
2025-02-09,2025-02-16,2025-02-09 to 2025-02-16,134,Australia,AU,WPRO,0,0,11861161,25236,2025,7,0
2025-02-23,2025-03-02,2025-02-23 to 2025-03-02,135,Australia,AU,WPRO,0,0,11861161,25236,2025,9,0
2025-03-09,2025-03-16,2025-03-09 to 2025-03-16,136,Australia,AU,WPRO,0,0,11861161,25236,2025,11,0
2025-03-23,2025-03-30,2025-03-23 to 2025-03-30,137,Australia,AU,WPRO,0,0,11861161,25236,2025,13,0
2025-04-06,2025-04-13,2025-04-06 to 2025-04-13,138,Australia,AU,WPRO,0,0,11861161,25236,2025,15,0
2025-04-20,2025-04-27,2025-04-20 to 2025-04-27,139,Australia,AU,WPRO,0,0,11861161,25236,2025,17,0
